t,policy,task_difficulty,chosen_agent,match_score,load,latency_ms,call_cost,success,fallback_used,total_cost_this_task,total_latency_this_task,reward_used_for_update
98,random,simple,A,0.8,1.0,1692.311519252623,1.0,1,0,1.0,1692.311519252623,0.0
99,random,simple,D,0.85,0.6562471512044274,662.7663398192634,0.22,1,0,0.22,662.7663398192634,0.0
100,random,simple,D,0.85,0.8774974930598962,790.1361673193489,0.22,0,0,0.22,790.1361673193489,0.0
101,random,simple,A,0.8,0.9814719999999999,1747.192091666047,1.0,1,0,1.0,1747.192091666047,0.0
102,random,simple,A,0.8,1.0,1973.6321761305082,1.0,1,0,1.0,1973.6321761305082,0.0
103,random,simple,D,0.85,0.8979899715905137,646.004473039034,0.22,1,0,0.22,646.004473039034,0.0
104,random,simple,D,0.85,1.0,816.9368992744587,0.22,1,0,0.22,816.9368992744587,0.0
105,random,simple,A,0.8,0.9814719999999999,1580.0849897162072,1.0,1,0,1.0,1580.0849897162072,0.0
106,random,simple,A,0.8,1.0,1739.0324416320727,1.0,0,0,1.0,1739.0324416320727,0.0
107,random,simple,D,0.85,0.9814719999999999,617.4612907955757,0.22,1,0,0.22,617.4612907955757,0.0
108,random,simple,A,0.8,1.0,1502.2634899035013,1.0,1,0,1.0,1502.2634899035013,0.0
109,random,simple,A,0.8,1.0,1753.5940335401735,1.0,1,0,1.0,1753.5940335401735,0.0
110,random,simple,A,0.8,1.0,2020.6411165153686,1.0,1,0,1.0,2020.6411165153686,0.0
111,random,hard,A,0.95,1.0,2090.6942926414035,1.0,1,0,1.0,2090.6942926414035,0.0
112,random,simple,A,0.8,1.0,1457.3830323593756,1.0,1,0,1.0,1457.3830323593756,0.0
113,random,hard,C,0.75,0.380980180017751,566.8451852010089,0.35,1,0,0.35,566.8451852010089,0.0
114,random,simple,D,0.85,0.7011036549203781,605.975504037427,0.22,1,0,0.22,605.975504037427,0.0
115,random,simple,D,0.85,0.9169712163299326,660.0781683284288,0.22,1,0,0.22,660.0781683284288,0.0
116,random,hard,C,0.75,0.5596273252370568,775.1901262262504,0.35,0,0,0.35,775.1901262262504,0.0
117,random,simple,A,0.8,0.8277319167999999,1444.0282457365645,1.0,1,0,1.0,1444.0282457365645,0.0
118,random,simple,D,0.85,0.9248902087347919,714.1191369512998,0.22,0,0,0.22,714.1191369512998,0.0
119,random,simple,D,0.85,1.0,879.9768299031882,0.22,1,0,0.22,879.9768299031882,0.0
120,random,simple,D,0.85,1.0,969.9758944236556,0.22,1,0,0.22,969.9758944236556,0.0
121,random,hard,E,0.9,0.30012343376969786,886.8285585984347,0.6,1,0,0.6,886.8285585984347,0.0
122,random,simple,A,0.8,0.7368205510494021,1584.8406756837878,1.0,0,0,1.0,1584.8406756837878,0.0
123,random,simple,A,0.8,0.9484020849234738,1759.737598402166,1.0,1,0,1.0,1759.737598402166,0.0
124,random,simple,D,0.85,0.8996953599999999,526.4513257500847,0.22,0,0,0.22,526.4513257500847,0.0
125,random,simple,B,0.95,0.3127760084418026,331.47628483243807,0.1,0,0,0.1,331.47628483243807,0.0
126,random,simple,B,0.95,0.5752428874287863,489.59697154723517,0.1,1,0,0.1,489.59697154723517,0.0
127,random,hard,E,0.9,0.43937854918229485,958.8143436682619,0.6,0,0,0.6,958.8143436682619,0.0
128,random,hard,A,0.95,0.8005020501737812,1295.6008457755208,1.0,1,0,1.0,1295.6008457755208,0.0
129,random,simple,B,0.95,0.6920119209818698,547.6473539126616,0.1,1,0,0.1,547.6473539126616,0.0
130,random,simple,B,0.95,0.9089704904640454,509.6136789099086,0.1,1,0,0.1,509.6136789099086,0.0
131,random,simple,D,0.85,0.6676835377992498,651.3853140749404,0.22,0,0,0.22,651.3853140749404,0.0
